n_estimators,max_depth,train_accuracy,val_accuracy,bias,variance,run_id
100,5.0,0.8009702983709824,0.8040860906966505,High,Low,feb5e3168afd4b7a9b091206c8f60580
100,10.0,0.8733532021539607,0.8721847800318353,High,Low,8b982ac04ae649d697b93cbc6ec7dc36
100,20.0,0.9758335591153859,0.9636011108476987,Medium,Medium,8705b288d1464b5bbf990457dfdcc7ab
100,,0.9999788329325702,0.9786635960307515,Medium,Medium,2a2718a6c47141558daea63a3d6eb0ac
300,5.0,0.8015248755376435,0.8044501642564432,High,Low,63c0f7f981934c2d8ac423579dcc8e8c
300,10.0,0.8741575507162935,0.8736156737900904,High,Low,b23bd239e69e46bf8eae7615ff0fa976
300,20.0,0.9762823009448979,0.9638551156568564,Medium,Medium,777bc34aeff244a192b1e5b7b54ea446
300,,1.0,0.9787143969925831,Medium,Medium,188cc6c281574269a8b1f33f8c0adbec
500,5.0,0.8017619466928574,0.8050259084905341,High,Low,27b5fee83d3949e3b6b04057a8439c8b
500,10.0,0.8741533173028077,0.8735987401361466,High,Low,30ced938511c474399f81165fd049422
500,20.0,0.9766061570765739,0.964346191621228,Medium,Medium,0aa8baa8a20c4dcda20dcd7e7f771fd2
500,,1.0,0.9787059301656111,Medium,Medium,b60bdb36f4014c5189b02e3cc1086e23
